,station,name,ribbonType,menu,priceRange
119,청량리,유명닭한마리 칼국수,NOT,"닭한마리칼국수(대 2만5천원, 중 2만원), 홍두깨칼국수(5천원), 삼계탕(1인 1만원)",1~2만원대
120,청량리,육전식당,NOT,"통삼겹살, 통목살(각 150g 1만5천원), 항정살(150g 1만8천원), 물냉면, 비빔냉면(각 4천원)",2~4만원대
121,청량리,은하곱창,NOT,"돼지곱창전골(소 2만3천원, 중 2만8천원, 대 3만3천원), 오징어볶음(2인 이상, 1인 1만원), 잔치국수, 비빔국수, 열무국수(각 4천원)",1~2만원대
122,청량리,이화김치찌개,NOT,"김치찌개(9천원), 삼겹살(150g 1만3천원), 주물럭(소 3만5천원, 대 4만5천원)",1만원 미만
123,청량리,정인보리밥,NOT,보리밥정식(4천원),1만원 미만
124,고속터미널,김영모과자점,RIBBON_TWO,"아몬드크루아상(2천원), 트위스트파이(2천5백원), 흑임자페스트리(3천원), 바게트샌드위치(8천원), 몽블랑(6천원), 바움쿠헨(1만6천원~1만7천원), 고구마케이크(4만3천원)",1만원 미만
125,고속터미널,담장옆에국화꽃,RIBBON_TWO,"밤대추팥빙수(1인 9천원, 2인 1만6천원), 단호박팥빙수, 녹차팥빙수, 수정과빙수, 제주감귤빙수, 생딸기빙수, 수박빙수(각 1인 9천5백원, 2인 1만7천원), 단팥죽, 사색인절미구이(각 8천원)",1만원 미만
126,고속터미널,더마고그릴,RIBBON_TWO,"런치세트(7만9천원), 디너세트(14만5천원), 샐러드(2만2천원~2만8천원), 파스타(3만9천원~4만6천원), 스테이크(7만5천원~13만5천원), ",10~20만원대
127,고속터미널,마루심,RIBBON_TWO,"히쓰마부시, 우나동(각 3만6천원, 특 4만5천원), 미니히쓰마부시(2만1천원)",2~4만원대
128,고속터미널,모던눌랑,RIBBON_TWO,"동파육(3만8천원), 모던눌랑케이지(3만2천원), 스파이시비프누들(1만8천원), 게살볶음밥(1만9천원), 올데이코스(7만5천원), 런치코스(3만5천원, 4만8천원)",2~4만원대
129,고속터미널,서궁,RIBBON_TWO,"런치코스(6만8천원, 8만원, 10만원, 14만원), 디너코스(9만7천원, 12만원, 15만원, 18만원, 30만원), 오향장우육(소 5만원, 대 7만3천원), 소고기탕수육(소 6만5천원, 대 9만원), 라조기(소 4만5천원, 대 6만5천원)",10~20만원대
130,고속터미널,플레이버즈,RIBBON_TWO,"조식뷔페(어른 5만9천원, 어린이 3만원), 평일점심뷔페(어른10만5천원, 어린이 5만원), 평일저녁뷔페(어른 12만원, 어린이 6만원), 금요일저녁, 주말뷔페(각 어른 13만원, 어린이 6만5천원)",10~20만원대
131,고속터미널,가이센,RIBBON_ONE,오마카세코스(4만원),4~10만원대
132,고속터미널,남도미락,RIBBON_ONE,"홍어삼합(각 중 6만원, 대 7만원), 갈치조림(중 6만5천원, 대 7만5천원)",2~4만원대
133,고속터미널,대전집,RIBBON_ONE,"청국장(7천원), 된장찌개, 김치찌개(각 7천원), 삼겹살(30g 1만4천원), 부대찌개(1인 1만원)",1~2만원대
134,고속터미널,더리버벨라쿠치나,RIBBON_ONE,"벨라코스(3만9천원), 쿠치나코스(5만9천원), 더리버코스(8만원), 커플코스(2인 12만원)",4~10만원대
135,고속터미널,베테랑칼국수(고속터미널점),RIBBON_ONE,"칼국수(8천원), 쫄면(7천원), 만두(6천원)",1만원 미만
136,고속터미널,텍사스데브라질,RIBBON_ONE,"평일런치(4만3천원), 평일디너, 주말런치, 주말디너(각 5만8천원)",4~10만원대
137,고속터미널,꼴라주,NOT,"어니언수프(1만2천원), 햄버그스테이크(2만9천원), 버섯리조토(1만9천원), 오늘의파스타(1만8천원), 브런치(1만7천원~1만9천원)",2~4만원대
138,고속터미널,다봉,NOT,"회정식(17만원, 20만원, 25만원), 사시미코스(1인 17만원), 일본전통요리코스(10만원, 15만원, 20만원)",10~20만원대
139,고속터미널,미소의집,NOT,"즉석떡볶이(2천5백원), 튀김순대(2천5백원), 볶음밥(1천5백원)",1만원 미만
140,고속터미널,반포집,NOT,"수제비, 오징어덮밥(각 7천원)",1만원 미만
141,고속터미널,반포치킨,NOT,"마늘치킨(1만6천원), 골뱅이무침(1만5천원)",1~2만원대
